,om,yr,mo,dy,date,time,tz,st,stf,mag,inj,fat,permanent_fat,mobile_fat,other_fat,unknown_fat,loss,closs,slon,slat,elon,elat,len,wid,kind,stroke,DateTim,Hour,Year,Length,Width,cas
626,679,1999,12,2,1999-12-02,21:40:00,3,TX,48,1,3,2,0,2,0,0,0.6,0,-97.82,33.3,-97.82,33.3,5.5,100,Tornado,#0000FF,1999-12-03,21,1999,8851.37,71.81680806,5
634,634,2000,2,13,2000-02-13,22:42:00,3,GA,13,3,175,11,0,11,0,0,20,0,-84.27,31.17,-84.12,31.23,9.2,300,Tornado,#FFAA00,2000-02-14,22,2000,14805.928,215.4504242,186
635,635,2000,2,13,2000-02-13,23:49:00,3,GA,13,3,15,7,2,5,0,0,5,0,-84.2,31.02,-84.02,31.07,15,300,Tornado,#FFAA00,2000-02-14,23,2000,24140.1,215.4504242,22
636,637,2000,2,14,2000-02-14,0:39:00,3,GA,13,2,0,1,0,1,0,0,2.5,0,-83.63,31.32,-83.58,31.35,6,200,Tornado,#008000,2000-02-14,0,2000,9656.04,143.6336161,1
646,699,2000,3,28,2000-03-28,18:18:00,3,TX,48,3,80,2,0,0,2,0,0,0,-97.35,32.75,-97.35,32.75,4,250,Tornado,#FFAA00,2000-03-28,18,2000,6437.36,179.5420202,82
648,740,2000,4,2,2000-04-02,23:34:00,3,AL,1,2,6,1,0,1,0,0,0.3,0,-85.55,33.9,-85.52,33.9,1.9,100,Tornado,#008000,2000-04-03,23,2000,3057.746,71.81680806,7
657,101,2000,4,20,2000-04-20,18:14:00,3,TN,47,1,0,1,0,0,1,0,0.03,0,-86.4,35.53,-86.37,35.53,2,60,Tornado,#0000FF,2000-04-20,18,2000,3218.68,43.09008484,1
666,764,2000,5,11,2000-05-11,18:03:00,3,IA,19,3,25,1,1,0,0,0,1.75,0,-92.45,42.52,-92,42.6,18.6,210,Tornado,#FFAA00,2000-05-11,18,2000,29933.724,150.8152969,26
667,210,2000,5,12,2000-05-12,16:10:00,3,TX,48,3,0,2,2,0,0,0,3,0,-97.37,31.9,-97.37,31.9,7,400,Tornado,#FFAA00,2000-05-12,16,2000,11265.38,287.2672322,2
686,1019,2000,7,25,2000-07-25,16:57:00,3,MN,27,4,15,1,1,0,0,0,20,0,-95.67,44.9,-95.55,44.82,9,160,Tornado,#FF0000,2000-07-25,16,2000,14484.06,114.9068929,16
689,1050,2000,9,20,2000-09-20,17:18:00,3,OH,39,4,100,1,0,0,1,0,15,0,-83.98,39.65,-83.88,39.73,9,500,Tornado,#FF0000,2000-09-20,17,2000,14484.06,359.0840403,101
693,1055,2000,9,22,2000-09-22,22:30:00,3,SC,45,2,5,1,0,0,1,0,0.29,0,-81.48,33.08,-81.43,33.12,4.8,400,Tornado,#008000,2000-09-23,22,2000,7724.832,287.2672322,6
